month,segment_id,action_type,title,rationale,score,업종_중분류,사업장_시도,법인_고객등급,전담고객여부
2024-12-01,부동산업|nan|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,1840.1896551724137,부동산업,,최우수,Y
2024-12-01,도매 및 상품 중개업|경상남도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,1482.9094568236078,도매 및 상품 중개업,경상남도,일반,Y
2024-12-01,기타 운송장비 제조업|부산광역시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,1429.6073480638702,기타 운송장비 제조업,부산광역시,최우수,Y
2024-12-01,기타 기계 및 장비 제조업|경상남도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,1374.1835159787183,기타 기계 및 장비 제조업,경상남도,우수,Y
2024-12-01,스포츠 및 오락관련 서비스업|경상북도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,983.5401527408868,스포츠 및 오락관련 서비스업,경상북도,우수,Y
2024-12-01,금속가공제품 제조업; 기계 및 가구 제외|경상남도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,921.2983642532089,금속가공제품 제조업; 기계 및 가구 제외,경상남도,우수,Y
2024-12-01,사업시설 관리 및 조경 서비스업|부산광역시|우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,847.4399999999999,사업시설 관리 및 조경 서비스업,부산광역시,우수,N
2024-12-01,화학물질 및 화학제품 제조업; 의약품 제외|경기도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,783.2686019653748,화학물질 및 화학제품 제조업; 의약품 제외,경기도,우수,Y
2024-12-01,"전기, 가스, 증기 및 공기조절 공급업|경상북도|최우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,776.5291092011585,"전기, 가스, 증기 및 공기조절 공급업",경상북도,최우수,Y
2024-12-01,"창작, 예술 및 여가관련 서비스업|부산광역시|최우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,739.5,"창작, 예술 및 여가관련 서비스업",부산광역시,최우수,Y
2024-12-01,정보서비스업|서울특별시|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,687.72,정보서비스업,서울특별시,우수,Y
