segment_id,month,actual,predicted,residual,residual_pct,severity,alert_type,kpi,업종_중분류,사업장_시도,법인_고객등급,전담고객여부
1차 금속 제조업|nan|일반|Y,2024-12-01,0.0,0.07614388279675413,-0.07614388279675413,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,,일반,Y
1차 금속 제조업|nan|최우수|N,2024-12-01,0.0,0.11767067997296236,-0.11767067997296236,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,,최우수,N
1차 금속 제조업|경상북도|최우수|N,2024-12-01,0.0,4.2044048416610496,-4.2044048416610496,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,경상북도,최우수,N
1차 금속 제조업|부산광역시|우수|N,2024-12-01,0.0,0.11800952617951044,-0.11800952617951044,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,부산광역시,우수,N
1차 금속 제조업|부산광역시|최우수|N,2024-12-01,0.0,0.2938044562058486,-0.2938044562058486,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,부산광역시,최우수,N
1차 금속 제조업|서울특별시|우수|Y,2024-12-01,0.0,0.3190580513080194,-0.3190580513080194,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,서울특별시,우수,Y
1차 금속 제조업|서울특별시|일반|N,2024-12-01,0.0,0.31025155089450274,-0.31025155089450274,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,서울특별시,일반,N
1차 금속 제조업|서울특별시|일반|Y,2024-12-01,0.0,0.4700583222575851,-0.4700583222575851,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,서울특별시,일반,Y
1차 금속 제조업|서울특별시|최우수|N,2024-12-01,0.0,0.7443879557369046,-0.7443879557369046,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,서울특별시,최우수,N
1차 금속 제조업|울산광역시|우수|N,2024-12-01,0.0,0.6930153166428787,-0.6930153166428787,-1.0,CRITICAL,DROP,예금총잔액,1차 금속 제조업,울산광역시,우수,N
